OrderID,CustomerName,Email,SalesDate,Product,Category,Quantity,UnitPrice,TotalSales,OrderStatus
O001,  Raj Kumar,raj@gmail.com ,05-01-23,Laptop,electronics,2,"?50,000","?100,000",Pend
O002,Anita@Sharma,anita@@mail.com,05-02-23,Mobile,Electronics,1,20000Rs,20000Rs,pen
O003,Vikram  Singh,vikram@mail.com,10-03-23,Tablet,electronics,3,300$,900$,Incom
O004,Neha#Verma,neha@gmail,10-04-23,  Laptop,Electronics,$1 ,$700 ,$700 ,incomplate
O005,  Arjun Reddy,arjun@mail.com,2023.05.15,mobile,electronics,2,?15 000,?30 000,Pend
O006,Pooja$Mehta,pooja@gmail.com,15-06-23,  tablet,Electronics,,400$,400$,Incom
O007,Kiran Patel ,kiran@gmail.com,20-07-23,Laptop,electronics,$2 ,$800 ,"$1,600 ",pen
O008,Sneha@Iyer,sneha@gmail.com,20-08-23,Mobile,Electronics,1,?18000,?18000,Pend
O009,Rahul  Das,rahul@mail.com,25-09-23,Tablet,Electronics,2,350$,700$,incom
O010,Meena#Joshi,meena@mail.com,25-10-23,Laptop,electronics,$1 ,$900 ,$900 ,incomplate
O011,  Amit Shah,amit@gmail.com,05-11-23,Laptop, Electronics,2,"?60,000","?120,000",Pend
O012,Priya@Nair,priya@@mail.com,05-12-23,Mobile,Electronics,1,22000Rs,22000Rs,pen
O013,Rohit  Gupta,rohit@mail.com,10-12-23,Tablet,electronics,3,320$,960$,Incom
O014,Kavya#Rao,kavya@gmail,10-01-24,Laptop  ,Electronics,1,$750 ,$750 ,incomplate
O015,  Naveen Kumar,naveen@mail.com,2024.01.15,mobile,electronics,2,?16 000,?32 000,Pend
O016,Divya$Menon,divya@gmail.com,15-02-24,Tablet,Electronics,,420$,420$,Incom
O017,Manoj Reddy ,manoj@gmail.com,20-02-24,laptop,electronics,2,$820 ,"$1,640 ",pen
O018,Lakshmi@Devi,lakshmi@gmail.com,20-03-24,Mobile,Electronics,1,?19000,?19000,Pend
O019,Suresh  Babu,suresh@mail.com,25-03-24,tablet,electronics,2,360$,720$,incom
O020,Anjali#Singh,anjali@mail.com,25-04-24,Laptop,Electronics,1,$950 ,$950 ,incomplate
O021,  Tarun Verma,tarun@gmail.com,05-05-24,Laptop,electronics,2,"?55,000","?110,000",Pend
O022,Deepa@Iyer,deepa@@mail.com,05-06-24,Mobile,Electronics,1,21000Rs,21000Rs,pen
O023,Karthik  R,karthik@mail.com,10-06-24, Tablet,electronics,3,310$,930$,Incom
O024,Shreya#Das,shreya@gmail,10-07-24,laptop,electronics,1,$720 ,$720 ,incomplate
O025,  Varun Singh,varun@mail.com,2024.07.15,mobile,Electronics,2,?14 000,?28 000,Pend
O026,Nisha$Khan,nisha@gmail.com,15-08-24,tablet,electronics,,410$,410$,Incom
O027,Ajay Kumar ,ajay@gmail.com,20-08-24,Laptop,electronics,2,$830 ,"$1,660 ",pen
O028,Pooja@Singh,pooja@gmail.com,20-09-24,Mobile,Electronics,1,?17000,?17000,Pend
O029,Ramesh  Yadav,ramesh@mail.com,25-09-24,Tablet,Electronics,2,340$,680$,incom
O030,Seema#Joshi,seema@mail.com,25-10-24,Laptop,Electronics,1,$920 ,$920 ,incomplate
O031,  Sunil Kumar,sunil@gmail.com,05-11-24,Laptop,Electronics,2,"?65,000","?130,000",Pend
O032,Geeta@Nair,geeta@@mail.com,05-12-24,Mobile,Electronics,1,23000Rs,23000Rs,pen
O033,Ravi  Teja,ravi@mail.com,10-12-24,Tablet,Electronics,3,330$,990$,Incom
O034,Kiran#Rao,kiran@gmail,10-01-25,laptop,Electronics,1,$780 ,$780 ,incomplate
O035,  Vinay Reddy,vinay@mail.com,2025.01.15,mobile,Electronics,2,?18 000,?36 000,Pend
O036,Swathi$Menon,swathi@gmail.com,15-02-25,tablet,Electronics,,430$,430$,Incom
O037,Pradeep Kumar ,pradeep@gmail.com,20-02-25,  Laptop,Electronics,2,$840 ,"$1,680 ",pen
O038,Anu@Devi,anu@gmail.com,20-03-25,mobile,Electronics,1,?20000,?20000,Pend
O039,Mahesh  Babu,mahesh@mail.com,25-03-25, Tablet,Electronics,2,370$,740$,incom
O040,Radha#Singh,radha@mail.com,25-04-25,Laptop,Electronics,1,$980 ,$980 ,incomplate
O041,  Gopal Verma,gopal@gmail.com,05-05-25,Laptop,Electronics,2,"?70,000","?140,000",Pend
O042,Sita@Iyer,sita@@mail.com,05-06-25,Mobile,Electronics,1,24000Rs,24000Rs,pen
O043,Harish  R,harish@mail.com,10-06-25,Tablet,Electronics,3,350$,1050$,Incom
O044,Ritu#Das,ritu@gmail,10-07-25,laptop,Electronics,1,$760 ,$760 ,incomplate
O045,  Mohan Singh,mohan@mail.com,2025.07.15,mobile,Electronics,2,?19 000,?38 000,Pend
O046,Farah$Khan,farah@gmail.com,15-08-25,tablet,Electronics,,440$,440$,Incom
O047,Dinesh Kumar ,dinesh@gmail.com,20-08-25,Laptop, Electronics,2,$860 ,"$1,720 ",pen
O048,Rekha@Singh,rekha@gmail.com,20-09-25,Mobile,Electronics,1,?21000,?21000,Pend
O049,Naresh  Yadav,naresh@mail.com,25-09-25,Tablet,Electronics,2,360$,720$,incom
O050,Kavita#Joshi,kavita@mail.com,25-10-25,Laptop,Electronics,1,$940 ,$940 ,incomplate
O051,  Raju Kumar,raju@gmail.com,05-11-25, Laptop,Electronics,2,"?75,000","?150,000",Pend
